,total_score,Sc,Sc_int_area,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,ddg,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,binding,cluster
45,-987.369,-1.0,-1.0,-2.815,0.0,0.0,-24.294,-2.969,252.509,818.2639999999999,565.755,-24.059,3.0,0.0,-2083.689,480.463,-593.0169999999999,4.032,80.464,218.437,1251.333,0.889,-54.957,-86.40799999999999,-55.831,-113.46,21.0,-48.958,351.0,16.0,27.072,-76.048,0.0,-2.764,3.239,-30.375,90.335,0.0,-2.356,-35.346,-8.871,-8.871,1,0
46,-1083.775,0.7490000000000001,1580.3239999999998,-3.0460000000000003,-104.948,-3.975,-88.535,-3.354,1595.571,2640.036,1044.465,-82.054,7.0,0.086,-2141.966,470.072,-679.931,3.969,73.325,220.36900000000003,1301.924,0.1689999999999999,-60.07,-116.104,-58.952,-104.517,14.0,-43.985,359.0,85.0,18.302,-85.352,0.0,-3.553,2.004,7.167000000000001,109.881,0.753,-4.067,-215.571,-2.7,-86.40700000000001,1,1
47,-1556.235,0.602,1770.1429999999998,-2.8680000000000003,-65.64,-2.388,-51.395,-1.869,1323.299,2749.117,1425.818,-40.243,25.0,-4.816,-3068.135,565.48,-843.637,4.747,81.725,336.93,1613.594,0.278,-91.996,-237.441,-52.277,-84.133,14.0,-63.92,548.0,114.0,65.745,-147.235,0.0,-2.766,15.677,41.424,312.033,0.609,-2.555,-158.438,-3.017,-156.873,1,1
48,-1250.7,0.653,2481.31,-2.83,0.0,0.0,-117.39,-2.908,2518.118,4037.219,1519.101,-113.814,8.0,0.0,-2686.936,596.962,-799.2280000000001,4.367,90.328,263.39,1641.135,0.195,-73.0,-63.769,-69.708,-237.885,21.0,-80.10600000000001,444.0,107.0,56.03,-60.862,0.0,-3.567,1.7819999999999998,-17.637999999999998,184.437,0.6629999999999999,-3.503,-185.649,-3.631,-196.05,1,1
49,4281.354,0.427,1071.604,1.615,0.0,0.0,-137.327,-4.906000000000001,1768.558,2799.447,1030.889,93.71,1.0,12.834,-12671.274,7907.672,-2680.715,44.391000000000005,553.972,2452.416,7502.34,0.026,-227.023,-724.375,-139.377,-227.936,5.0,-278.851,2615.0,33.0,173.235,-234.173,0.0,1.139,57.127,1843.954,917.137,0.616,0.42,7.971,2.115,29.608,1,1
50,-897.4639999999999,0.6729999999999999,1872.124,-1.739,-84.426,-2.795,-72.711,-2.407,1888.544,3020.76,1132.216,-57.1,14.0,0.069,-2978.703,915.935,-770.674,8.532,111.746,375.696,1692.131,0.124,-85.256,-155.041,-36.682,-121.395,11.0,-66.154,540.0,105.0,58.402,-116.915,0.0,-2.616,9.442,73.184,188.218,0.693,-2.895,-167.926,-2.27,-106.704,1,1
51,163.608,0.505,1238.253,-0.381,85.505,3.87,104.561,4.7330000000000005,1448.944,2209.322,760.3789999999999,370.752,30.0,-4.088,-1453.284,577.395,-365.542,4.026,70.157,548.9590000000001,958.388,-0.049,-38.132,-94.625,-24.188,-43.04600000000001,5.0,-42.58,311.0,101.0,33.065,-60.127,0.0,-0.15,2.769,51.411,43.048,0.509,-0.4639999999999999,-30.618,0.442,15.47,1,0
52,-1858.259,0.5539999999999999,1807.134,-2.569,-65.976,-1.811,-49.548,-1.36,1789.36,3642.127,1852.767,-37.644,21.0,0.0,-4598.880999999999,1144.809,-1220.643,10.524,155.213,532.107,2680.914,0.225,-107.276,-127.219,-110.719,-300.48400000000004,11.0,-122.49,733.0,127.0,50.624,-129.34799999999998,0.0,-2.535,6.479,13.872,264.258,0.5539999999999999,-2.602,-163.90900000000002,-2.47,-158.08700000000002,1,1
53,-2317.493,0.638,1292.931,-2.757,0.0,0.0,-45.022,-2.0,1219.835,2250.9120000000003,1031.077,-41.675,18.0,-7.426,-4803.876,1117.924,-1366.775,8.218,145.054,538.826,2680.7740000000003,0.496,-166.15200000000002,-350.894,-140.332,-109.083,18.0,-116.778,842.0,90.0,96.745,-210.757,0.0,-2.517,6.432,40.298,320.309,0.5820000000000001,-2.632,-102.636,-2.43,-123.914,1,1
54,12549.228,0.368,803.705,16.46,0.0,0.0,76.34,4.65,949.056,1641.766,692.71,172.53400000000002,11.0,-12.595,-4081.888,917.443,-1067.906,7.591,143.30200000000002,15042.813999999998,2264.199,-0.142,-102.838,-304.005,-89.156,-91.278,11.0,-110.299,756.0,65.0,39.663,-196.778,0.0,-0.349,9.35,-25.627,207.236,0.358,-0.361,-10.476,-0.34,-12.236,1,1
55,-1651.994,0.695,1140.5,-2.364,-63.085,-3.055,-59.213,-2.867,957.508,2065.001,1107.494,-55.719,5.0,-0.7340000000000001,-3774.405,1025.61,-1344.991,6.371,137.757,364.11300000000006,2568.501,0.3379999999999999,-124.652,-388.772,-136.106,-107.964,19.0,-58.233,701.0,86.0,94.19,-139.252,0.0,-2.634,8.743,81.747,136.084,0.687,-1.944,-99.131,-3.639,-127.374,1,1
56,677.196,0.716,1589.783,-1.396,-85.381,-3.565,-73.704,-3.0780000000000003,1811.885,2394.669,582.784,975.592,9.0,0.0,-1614.997,508.728,-464.344,4.084,73.34100000000001,1237.981,1057.455,0.033,-21.578000000000003,-3.33,-18.551,-188.625,2.0,-47.846,284.0,91.0,18.32,-26.096,0.0,-2.634,3.7,67.87,91.083,0.711,-2.664,-181.165,-2.543,-58.493,1,0
57,-1354.929,0.711,1426.895,-2.238,0.0,0.0,-76.493,-2.862,1437.983,2672.293,1234.31,-55.556,8.0,-1.987,-3469.639,939.146,-1039.717,6.18,113.949,405.491,2169.399,0.472,-98.621,-276.587,-105.389,-81.96700000000001,32.0,-88.50200000000001,621.0,65.0,90.6,-132.91,0.0,-2.1790000000000003,8.69,61.67100000000001,145.264,0.695,-2.4090000000000003,-84.29799999999999,-1.911,-57.317,1,1
